id;root;rootN;family;modeNr;modeName;RMS;spelling;n1;n2;n3;n4;n5;n6;n7;n8;nn1;nn2;nn3;nn4;nn5;nn6;nn7;nn8;c1;c2;c3;c4;c5;c6;c7;c8
333;9;Ab;Hexatonic Scales;2;Whole-Tone Scale;9;b;9;11;1;3;5;7;;;Ab;Bb;C;D;E;Gb;;;aug;aug;aug;aug;aug;aug;;
334;10;A;Hexatonic Scales;2;Whole-Tone Scale;10;;10;12;2;4;6;8;;;A;B;C#;D#;F;G;;;aug;aug;aug;aug;aug;aug;;
335;11;Bb;Hexatonic Scales;2;Whole-Tone Scale;11;b;11;1;3;5;7;9;;;Bb;C;D;E;Gb;Ab;;;aug;aug;aug;aug;aug;aug;;
336;12;B;Hexatonic Scales;2;Whole-Tone Scale;12;;12;2;4;6;8;10;;;B;C#;D#;F;G;A;;;aug;aug;aug;aug;aug;aug;;
337;1;C;Hexatonic Scales;3;Blues Minor Scale;4;b;1;4;6;7;8;11;;;C;Eb;F;Gb;G;Bb;;;;;;;;;;
338;2;C#;Hexatonic Scales;3;Blues Minor Scale;5;;2;5;7;8;9;12;;;C#;E;F#;G;G#;B;;;;;;;;;;
339;3;D;Hexatonic Scales;3;Blues Minor Scale;6;b;3;6;8;9;10;1;;;D;F;G;Ab;A;C;;;;;;;;;;
340;4;D#;Hexatonic Scales;3;Blues Minor Scale;7;;4;7;9;10;11;2;;;D#;F#;G#;A;A#;C#;;;;;;;;;;
341;5;E;Hexatonic Scales;3;Blues Minor Scale;8;;5;8;10;11;12;3;;;E;G;A;A#;B;D;;;;;;;;;;
342;6;F;Hexatonic Scales;3;Blues Minor Scale;9;b;6;9;11;12;1;4;;;F;Ab;Bb;B;C;Eb;;;;;;;;;;
343;7;F#;Hexatonic Scales;3;Blues Minor Scale;10;;7;10;12;1;2;5;;;F#;A;B;C;C#;E;;;;;;;;;;
344;8;G;Hexatonic Scales;3;Blues Minor Scale;11;b;8;11;1;2;3;6;;;G;Bb;C;Db;D;F;;;;;;;;;;
345;9;G#;Hexatonic Scales;3;Blues Minor Scale;12;;9;12;2;3;4;7;;;G#;B;C#;D;D#;F#;;;;;;;;;;
346;10;A;Hexatonic Scales;3;Blues Minor Scale;1;b;10;1;3;4;5;8;;;A;C;D;Eb;E;G;;;;;;;;;;
347;11;Bb;Hexatonic Scales;3;Blues Minor Scale;2;b;11;2;4;5;6;9;;;Bb;Db;Eb;E;F;Ab;;;;;;;;;;
348;12;B;Hexatonic Scales;3;Blues Minor Scale;3;;12;3;5;6;7;10;;;B;D;E;F;F#;A;;;;;;;;;;
349;1;C;Hexatonic Scales;4;Blues Major Scale;1;b;1;3;4;5;8;10;;;C;D;Eb;E;G;A;;;;;;;;;;
350;2;Db;Hexatonic Scales;4;Blues Major Scale;2;b;2;4;5;6;9;11;;;Db;Eb;E;F;Ab;Bb;;;;;;;;;;
351;3;D;Hexatonic Scales;4;Blues Major Scale;3;;3;5;6;7;10;12;;;D;E;F;F#;A;B;;;;;;;;;;
352;4;Eb;Hexatonic Scales;4;Blues Major Scale;4;b;4;6;7;8;11;1;;;Eb;F;Gb;G;Bb;C;;;;;;;;;;
353;5;E;Hexatonic Scales;4;Blues Major Scale;5;;5;7;8;9;12;2;;;E;F#;G;G#;B;C#;;;;;;;;;;
354;6;F;Hexatonic Scales;4;Blues Major Scale;6;b;6;8;9;10;1;3;;;F;G;Ab;A;C;D;;;;;;;;;;
355;7;F#;Hexatonic Scales;4;Blues Major Scale;7;;7;9;10;11;2;4;;;F#;G#;A;A#;C#;D#;;;;;;;;;;
356;8;G;Hexatonic Scales;4;Blues Major Scale;8;;8;10;11;12;3;5;;;G;A;A#;B;D;E;;;;;;;;;;
357;9;Ab;Hexatonic Scales;4;Blues Major Scale;9;b;9;11;12;1;4;6;;;Ab;Bb;B;C;Eb;F;;;;;;;;;;
358;10;A;Hexatonic Scales;4;Blues Major Scale;10;;10;12;1;2;5;7;;;A;B;C;C#;E;F#;;;;;;;;;;
359;11;Bb;Hexatonic Scales;4;Blues Major Scale;11;b;11;1;2;3;6;8;;;Bb;C;Db;D;F;G;;;;;;;;;;
360;12;B;Hexatonic Scales;4;Blues Major Scale;12;;12;2;3;4;7;9;;;B;C#;D;D#;F#;G#;;;;;;;;;;
361;1;C;Diminished Scales;1;Half-Whole Diminished Scale;1;b;1;2;4;5;7;8;10;11;C;Db;Eb;E;Gb;G;A;Bb;dim;dim;dim;dim;dim;dim;dim;dim
362;2;Db;Diminished Scales;1;Half-Whole Diminished Scale;2;b;2;3;5;6;8;9;11;12;Db;D;E;F;G;Ab;Bb;B;dim;dim;dim;dim;dim;dim;dim;dim
363;3;D;Diminished Scales;1;Half-Whole Diminished Scale;3;;3;4;6;7;9;10;12;1;D;D#;F;F#;G#;A;B;C;dim;dim;dim;dim;dim;dim;dim;dim
364;4;Eb;Diminished Scales;1;Half-Whole Diminished Scale;4;b;4;5;7;8;10;11;1;2;Eb;E;Gb;G;A;Bb;C;Db;dim;dim;dim;dim;dim;dim;dim;dim
365;5;E;Diminished Scales;1;Half-Whole Diminished Scale;5;;5;6;8;9;11;12;2;3;E;F;G;G#;A#;B;C#;D;dim;dim;dim;dim;dim;dim;dim;dim
366;6;F;Diminished Scales;1;Half-Whole Diminished Scale;6;b;6;7;9;10;12;1;3;4;F;Gb;Ab;A;B;C;D;Eb;dim;dim;dim;dim;dim;dim;dim;dim
367;7;F#;Diminished Scales;1;Half-Whole Diminished Scale;7;;7;8;10;11;1;2;4;5;F#;G;A;A#;C;C#;D#;E;dim;dim;dim;dim;dim;dim;dim;dim
368;8;G;Diminished Scales;1;Half-Whole Diminished Scale;8;;8;9;11;12;2;3;5;6;G;G#;A#;B;C#;D;E;F;dim;dim;dim;dim;dim;dim;dim;dim
369;9;Ab;Diminished Scales;1;Half-Whole Diminished Scale;9;b;9;10;12;1;3;4;6;7;Ab;A;B;C;D;Eb;F;Gb;dim;dim;dim;dim;dim;dim;dim;dim
370;10;A;Diminished Scales;1;Half-Whole Diminished Scale;10;;10;11;1;2;4;5;7;8;A;A#;C;C#;D#;E;F#;G;dim;dim;dim;dim;dim;dim;dim;dim
371;11;Bb;Diminished Scales;1;Half-Whole Diminished Scale;11;b;11;12;2;3;5;6;8;9;Bb;B;Db;D;E;F;G;Ab;dim;dim;dim;dim;dim;dim;dim;dim
372;12;B;Diminished Scales;1;Half-Whole Diminished Scale;12;;12;1;3;4;6;7;9;10;B;C;D;D#;F;F#;G#;A;dim;dim;dim;dim;dim;dim;dim;dim
373;1;C;Diminished Scales;2;Whole-Half Diminished Scale;1;b;1;3;4;6;7;9;10;12;C;D;Eb;F;Gb;Ab;A;B;dim;dim;dim;dim;dim;dim;dim;dim
374;2;Db;Diminished Scales;2;Whole-Half Diminished Scale;2;b;2;4;5;7;8;10;11;1;Db;Eb;E;Gb;G;A;Bb;C;dim;dim;dim;dim;dim;dim;dim;dim
375;3;D;Diminished Scales;2;Whole-Half Diminished Scale;3;;3;5;6;8;9;11;12;2;D;E;F;G;G#;A#;B;C#;dim;dim;dim;dim;dim;dim;dim;dim
376;4;Eb;Diminished Scales;2;Whole-Half Diminished Scale;4;b;4;6;7;9;10;12;1;3;Eb;F;Gb;Ab;A;B;C;D;dim;dim;dim;dim;dim;dim;dim;dim
377;5;E;Diminished Scales;2;Whole-Half Diminished Scale;5;;5;7;8;10;11;1;2;4;E;F#;G;A;A#;C;C#;D#;dim;dim;dim;dim;dim;dim;dim;dim
378;6;F;Diminished Scales;2;Whole-Half Diminished Scale;6;b;6;8;9;11;12;2;3;5;F;G;Ab;Bb;B;Db;D;E;dim;dim;dim;dim;dim;dim;dim;dim
379;7;F#;Diminished Scales;2;Whole-Half Diminished Scale;7;;7;9;10;12;1;3;4;6;F#;G#;A;B;C;D;D#;F;dim;dim;dim;dim;dim;dim;dim;dim
380;8;G;Diminished Scales;2;Whole-Half Diminished Scale;8;;8;10;11;1;2;4;5;7;G;A;A#;C;C#;D#;E;F#;dim;dim;dim;dim;dim;dim;dim;dim
381;9;Ab;Diminished Scales;2;Whole-Half Diminished Scale;9;b;9;11;12;2;3;5;6;8;Ab;Bb;B;Db;D;E;F;G;dim;dim;dim;dim;dim;dim;dim;dim
382;10;A;Diminished Scales;2;Whole-Half Diminished Scale;10;;10;12;1;3;4;6;7;9;A;B;C;D;D#;F;F#;G#;dim;dim;dim;dim;dim;dim;dim;dim
383;11;Bb;Diminished Scales;2;Whole-Half Diminished Scale;11;b;11;1;2;4;5;7;8;10;Bb;C;Db;Eb;E;Gb;G;A;dim;dim;dim;dim;dim;dim;dim;dim
384;12;B;Diminished Scales;2;Whole-Half Diminished Scale;12;;12;2;3;5;6;8;9;11;B;C#;D;E;F;G;G#;A#;dim;dim;dim;dim;dim;dim;dim;dim
385;1;C;Modes of Harmonic Major;1;Harmonic Major;4;b;1;3;5;6;8;9;12;;C;D;E;F;G;Ab;B;;maj;dim;min;min;maj;aug;dim;
386;2;C#;Modes of Harmonic Major;1;Harmonic Major;5;;2;4;6;7;9;10;1;;C#;D#;F;F#;G#;A;C;;maj;dim;min;min;maj;aug;dim;
387;3;D;Modes of Harmonic Major;1;Harmonic Major;6;b;3;5;7;8;10;11;2;;D;E;Gb;G;A;Bb;Db;;maj;dim;min;min;maj;aug;dim;
388;4;D#;Modes of Harmonic Major;1;Harmonic Major;7;;4;6;8;9;11;12;3;;D#;F;G;G#;A#;B;D;;maj;dim;min;min;maj;aug;dim;
389;5;E;Modes of Harmonic Major;1;Harmonic Major;8;;5;7;9;10;12;1;4;;E;F#;G#;A;B;C;D#;;maj;dim;min;min;maj;aug;dim;
390;6;F;Modes of Harmonic Major;1;Harmonic Major;9;b;6;8;10;11;1;2;5;;F;G;A;Bb;C;Db;E;;maj;dim;min;min;maj;aug;dim;
391;7;F#;Modes of Harmonic Major;1;Harmonic Major;10;;7;9;11;12;2;3;6;;F#;G#;A#;B;C#;D;F;;maj;dim;min;min;maj;aug;dim;
392;8;G;Modes of Harmonic Major;1;Harmonic Major;11;b;8;10;12;1;3;4;7;;G;A;B;C;D;Eb;Gb;;maj;dim;min;min;maj;aug;dim;
393;9;G#;Modes of Harmonic Major;1;Harmonic Major;12;;9;11;1;2;4;5;8;;G#;A#;C;C#;D#;E;G;;maj;dim;min;min;maj;aug;dim;
394;10;A;Modes of Harmonic Major;1;Harmonic Major;1;b;10;12;2;3;5;6;9;;A;B;Db;D;E;F;Ab;;maj;dim;min;min;maj;aug;dim;
395;11;Bb;Modes of Harmonic Major;1;Harmonic Major;2;b;11;1;3;4;6;7;10;;Bb;C;D;Eb;F;Gb;A;;maj;dim;min;min;maj;aug;dim;
396;12;B;Modes of Harmonic Major;1;Harmonic Major;3;;12;2;4;5;7;8;11;;B;C#;D#;E;F#;G;A#;;maj;dim;min;min;maj;aug;dim;
397;1;C;Modes of Harmonic Major;2;Dorian b5;7;;1;3;4;6;7;10;11;;C;D;D#;F;F#;A;A#;;dim;min;min;maj;aug;dim;maj;
398;2;C#;Modes of Harmonic Major;2;Dorian b5;8;;2;4;5;7;8;11;12;;C#;D#;E;F#;G;A#;B;;dim;min;min;maj;aug;dim;maj;
399;3;D;Modes of Harmonic Major;2;Dorian b5;9;b;3;5;6;8;9;12;1;;D;E;F;G;Ab;B;C;;dim;min;min;maj;aug;dim;maj;
400;4;D#;Modes of Harmonic Major;2;Dorian b5;10;;4;6;7;9;10;1;2;;D#;F;F#;G#;A;C;C#;;dim;min;min;maj;aug;dim;maj;
401;5;E;Modes of Harmonic Major;2;Dorian b5;11;b;5;7;8;10;11;2;3;;E;Gb;G;A;Bb;Db;D;;dim;min;min;maj;aug;dim;maj;
402;6;F;Modes of Harmonic Major;2;Dorian b5;12;;6;8;9;11;12;3;4;;F;G;G#;A#;B;D;D#;;dim;min;min;maj;aug;dim;maj;
403;7;Gb;Modes of Harmonic Major;2;Dorian b5;1;b;7;9;10;12;1;4;5;;Gb;Ab;A;B;C;Eb;E;;dim;min;min;maj;aug;dim;maj;
404;8;G;Modes of Harmonic Major;2;Dorian b5;2;b;8;10;11;1;2;5;6;;G;A;Bb;C;Db;E;F;;dim;min;min;maj;aug;dim;maj;
405;9;G#;Modes of Harmonic Major;2;Dorian b5;3;;9;11;12;2;3;6;7;;G#;A#;B;C#;D;F;F#;;dim;min;min;maj;aug;dim;maj;
406;10;A;Modes of Harmonic Major;2;Dorian b5;4;b;10;12;1;3;4;7;8;;A;B;C;D;Eb;Gb;G;;dim;min;min;maj;aug;dim;maj;
407;11;A#;Modes of Harmonic Major;2;Dorian b5;5;;11;1;2;4;5;8;9;;A#;C;C#;D#;E;G;G#;;dim;min;min;maj;aug;dim;maj;
408;12;B;Modes of Harmonic Major;2;Dorian b5;6;b;12;2;3;5;6;9;10;;B;Db;D;E;F;Ab;A;;dim;min;min;maj;aug;dim;maj;
409;1;C;Modes of Harmonic Major;3;Phrygian b4;9;b;1;2;4;5;8;9;11;;C;Db;Eb;E;G;Ab;Bb;;min;min;maj;aug;dim;maj;dim;
410;2;C#;Modes of Harmonic Major;3;Phrygian b4;10;;2;3;5;6;9;10;12;;C#;D;E;F;G#;A;B;;min;min;maj;aug;dim;maj;dim;
411;3;D;Modes of Harmonic Major;3;Phrygian b4;11;b;3;4;6;7;10;11;1;;D;Eb;F;Gb;A;Bb;C;;min;min;maj;aug;dim;maj;dim;
412;4;D#;Modes of Harmonic Major;3;Phrygian b4;12;;4;5;7;8;11;12;2;;D#;E;F#;G;A#;B;C#;;min;min;maj;aug;dim;maj;dim;
413;5;E;Modes of Harmonic Major;3;Phrygian b4;1;b;5;6;8;9;12;1;3;;E;F;G;Ab;B;C;D;;min;min;maj;aug;dim;maj;dim;
414;6;F;Modes of Harmonic Major;3;Phrygian b4;2;b;6;7;9;10;1;2;4;;F;Gb;Ab;A;C;Db;Eb;;min;min;maj;aug;dim;maj;dim;
415;7;F#;Modes of Harmonic Major;3;Phrygian b4;3;;7;8;10;11;2;3;5;;F#;G;A;A#;C#;D;E;;min;min;maj;aug;dim;maj;dim;
416;8;G;Modes of Harmonic Major;3;Phrygian b4;4;b;8;9;11;12;3;4;6;;G;Ab;Bb;B;D;Eb;F;;min;min;maj;aug;dim;maj;dim;
417;9;G#;Modes of Harmonic Major;3;Phrygian b4;5;;9;10;12;1;4;5;7;;G#;A;B;C;D#;E;F#;;min;min;maj;aug;dim;maj;dim;
418;10;A;Modes of Harmonic Major;3;Phrygian b4;6;b;10;11;1;2;5;6;8;;A;Bb;C;Db;E;F;G;;min;min;maj;aug;dim;maj;dim;
419;11;A#;Modes of Harmonic Major;3;Phrygian b4;7;;11;12;2;3;6;7;9;;A#;B;C#;D;F;F#;G#;;min;min;maj;aug;dim;maj;dim;
420;12;B;Modes of Harmonic Major;3;Phrygian b4;8;;12;1;3;4;7;8;10;;B;C;D;D#;F#;G;A;;min;min;maj;aug;dim;maj;dim;
421;1;C;Modes of Harmonic Major;4;Melodic Minor s4;4;b;1;3;4;7;8;10;12;;C;D;Eb;Gb;G;A;B;;min;maj;aug;dim;maj;dim;min;
422;2;C#;Modes of Harmonic Major;4;Melodic Minor s4;5;;2;4;5;8;9;11;1;;C#;D#;E;G;G#;A#;C;;min;maj;aug;dim;maj;dim;min;
423;3;D;Modes of Harmonic Major;4;Melodic Minor s4;6;b;3;5;6;9;10;12;2;;D;E;F;Ab;A;B;Db;;min;maj;aug;dim;maj;dim;min;
424;4;D#;Modes of Harmonic Major;4;Melodic Minor s4;7;;4;6;7;10;11;1;3;;D#;F;F#;A;A#;C;D;;min;maj;aug;dim;maj;dim;min;
425;5;E;Modes of Harmonic Major;4;Melodic Minor s4;8;;5;7;8;11;12;2;4;;E;F#;G;A#;B;C#;D#;;min;maj;aug;dim;maj;dim;min;
426;6;F;Modes of Harmonic Major;4;Melodic Minor s4;9;b;6;8;9;12;1;3;5;;F;G;Ab;B;C;D;E;;min;maj;aug;dim;maj;dim;min;
427;7;F#;Modes of Harmonic Major;4;Melodic Minor s4;10;;7;9;10;1;2;4;6;;F#;G#;A;C;C#;D#;F;;min;maj;aug;dim;maj;dim;min;
428;8;G;Modes of Harmonic Major;4;Melodic Minor s4;11;b;8;10;11;2;3;5;7;;G;A;Bb;Db;D;E;Gb;;min;maj;aug;dim;maj;dim;min;
429;9;G#;Modes of Harmonic Major;4;Melodic Minor s4;12;;9;11;12;3;4;6;8;;G#;A#;B;D;D#;F;G;;min;maj;aug;dim;maj;dim;min;
430;10;A;Modes of Harmonic Major;4;Melodic Minor s4;1;b;10;12;1;4;5;7;9;;A;B;C;Eb;E;Gb;Ab;;min;maj;aug;dim;maj;dim;min;
431;11;Bb;Modes of Harmonic Major;4;Melodic Minor s4;2;b;11;1;2;5;6;8;10;;Bb;C;Db;E;F;G;A;;min;maj;aug;dim;maj;dim;min;
432;12;B;Modes of Harmonic Major;4;Melodic Minor s4;3;;12;2;3;6;7;9;11;;B;C#;D;F;F#;G#;A#;;min;maj;aug;dim;maj;dim;min;
433;1;C;Modes of Harmonic Major;5;Mixolydian b2;6;b;1;2;5;6;8;10;11;;C;Db;E;F;G;A;Bb;;maj;aug;dim;maj;dim;min;min;
434;2;C#;Modes of Harmonic Major;5;Mixolydian b2;7;;2;3;6;7;9;11;12;;C#;D;F;F#;G#;A#;B;;maj;aug;dim;maj;dim;min;min;
435;3;D;Modes of Harmonic Major;5;Mixolydian b2;8;;3;4;7;8;10;12;1;;D;D#;F#;G;A;B;C;;maj;aug;dim;maj;dim;min;min;
436;4;Eb;Modes of Harmonic Major;5;Mixolydian b2;9;b;4;5;8;9;11;1;2;;Eb;E;G;Ab;Bb;C;Db;;maj;aug;dim;maj;dim;min;min;
437;5;E;Modes of Harmonic Major;5;Mixolydian b2;10;;5;6;9;10;12;2;3;;E;F;G#;A;B;C#;D;;maj;aug;dim;maj;dim;min;min;
438;6;F;Modes of Harmonic Major;5;Mixolydian b2;11;b;6;7;10;11;1;3;4;;F;Gb;A;Bb;C;D;Eb;;maj;aug;dim;maj;dim;min;min;
439;7;F#;Modes of Harmonic Major;5;Mixolydian b2;12;;7;8;11;12;2;4;5;;F#;G;A#;B;C#;D#;E;;maj;aug;dim;maj;dim;min;min;
440;8;G;Modes of Harmonic Major;5;Mixolydian b2;1;b;8;9;12;1;3;5;6;;G;Ab;B;C;D;E;F;;maj;aug;dim;maj;dim;min;min;
441;9;Ab;Modes of Harmonic Major;5;Mixolydian b2;2;b;9;10;1;2;4;6;7;;Ab;A;C;Db;Eb;F;Gb;;maj;aug;dim;maj;dim;min;min;
442;10;A;Modes of Harmonic Major;5;Mixolydian b2;3;;10;11;2;3;5;7;8;;A;A#;C#;D;E;F#;G;;maj;aug;dim;maj;dim;min;min;
443;11;Bb;Modes of Harmonic Major;5;Mixolydian b2;4;b;11;12;3;4;6;8;9;;Bb;B;D;Eb;F;G;Ab;;maj;aug;dim;maj;dim;min;min;
444;12;B;Modes of Harmonic Major;5;Mixolydian b2;5;;12;1;4;5;7;9;10;;B;C;D#;E;F#;G#;A;;maj;aug;dim;maj;dim;min;min;
445;1;C;Modes of Harmonic Major;6;Lydian Augmented s2;8;;1;4;5;7;9;10;12;;C;D#;E;F#;G#;A;B;;aug;dim;maj;dim;min;min;maj;
446;2;Db;Modes of Harmonic Major;6;Lydian Augmented s2;9;b;2;5;6;8;10;11;1;;Db;E;F;G;A;Bb;C;;aug;dim;maj;dim;min;min;maj;
447;3;D;Modes of Harmonic Major;6;Lydian Augmented s2;10;;3;6;7;9;11;12;2;;D;F;F#;G#;A#;B;C#;;aug;dim;maj;dim;min;min;maj;
448;4;Eb;Modes of Harmonic Major;6;Lydian Augmented s2;11;b;4;7;8;10;12;1;3;;Eb;Gb;G;A;B;C;D;;aug;dim;maj;dim;min;min;maj;
449;5;E;Modes of Harmonic Major;6;Lydian Augmented s2;12;;5;8;9;11;1;2;4;;E;G;G#;A#;C;C#;D#;;aug;dim;maj;dim;min;min;maj;
450;6;F;Modes of Harmonic Major;6;Lydian Augmented s2;1;b;6;9;10;12;2;3;5;;F;Ab;A;B;Db;D;E;;aug;dim;maj;dim;min;min;maj;
451;7;Gb;Modes of Harmonic Major;6;Lydian Augmented s2;2;b;7;10;11;1;3;4;6;;Gb;A;Bb;C;D;Eb;F;;aug;dim;maj;dim;min;min;maj;
452;8;G;Modes of Harmonic Major;6;Lydian Augmented s2;3;;8;11;12;2;4;5;7;;G;A#;B;C#;D#;E;F#;;aug;dim;maj;dim;min;min;maj;
453;9;Ab;Modes of Harmonic Major;6;Lydian Augmented s2;4;b;9;12;1;3;5;6;8;;Ab;B;C;D;E;F;G;;aug;dim;maj;dim;min;min;maj;
454;10;A;Modes of Harmonic Major;6;Lydian Augmented s2;5;;10;1;2;4;6;7;9;;A;C;C#;D#;F;F#;G#;;aug;dim;maj;dim;min;min;maj;
455;11;Bb;Modes of Harmonic Major;6;Lydian Augmented s2;6;b;11;2;3;5;7;8;10;;Bb;Db;D;E;Gb;G;A;;aug;dim;maj;dim;min;min;maj;
456;12;B;Modes of Harmonic Major;6;Lydian Augmented s2;7;;12;3;4;6;8;9;11;;B;D;D#;F;G;G#;A#;;aug;dim;maj;dim;min;min;maj;
457;1;C;Modes of Harmonic Major;7;Locrian ff7;2;b;1;2;4;6;7;9;10;;C;Db;Eb;F;Gb;Ab;A;;dim;maj;dim;min;min;maj;aug;
458;2;C#;Modes of Harmonic Major;7;Locrian ff7;3;;2;3;5;7;8;10;11;;C#;D;E;F#;G;A;A#;;dim;maj;dim;min;min;maj;aug;
459;3;D;Modes of Harmonic Major;7;Locrian ff7;4;b;3;4;6;8;9;11;12;;D;Eb;F;G;Ab;Bb;B;;dim;maj;dim;min;min;maj;aug;
460;4;D#;Modes of Harmonic Major;7;Locrian ff7;5;;4;5;7;9;10;12;1;;D#;E;F#;G#;A;B;C;;dim;maj;dim;min;min;maj;aug;
461;5;E;Modes of Harmonic Major;7;Locrian ff7;6;b;5;6;8;10;11;1;2;;E;F;G;A;Bb;C;Db;;dim;maj;dim;min;min;maj;aug;
462;6;F;Modes of Harmonic Major;7;Locrian ff7;7;;6;7;9;11;12;2;3;;F;F#;G#;A#;B;C#;D;;dim;maj;dim;min;min;maj;aug;
463;7;F#;Modes of Harmonic Major;7;Locrian ff7;8;;7;8;10;12;1;3;4;;F#;G;A;B;C;D;D#;;dim;maj;dim;min;min;maj;aug;
464;8;G;Modes of Harmonic Major;7;Locrian ff7;9;b;8;9;11;1;2;4;5;;G;Ab;Bb;C;Db;Eb;E;;dim;maj;dim;min;min;maj;aug;
465;9;G#;Modes of Harmonic Major;7;Locrian ff7;10;;9;10;12;2;3;5;6;;G#;A;B;C#;D;E;F;;dim;maj;dim;min;min;maj;aug;
466;10;A;Modes of Harmonic Major;7;Locrian ff7;11;b;10;11;1;3;4;6;7;;A;Bb;C;D;Eb;F;Gb;;dim;maj;dim;min;min;maj;aug;
467;11;A#;Modes of Harmonic Major;7;Locrian ff7;12;;11;12;2;4;5;7;8;;A#;B;C#;D#;E;F#;G;;dim;maj;dim;min;min;maj;aug;
468;12;B;Modes of Harmonic Major;7;Locrian ff7;1;b;12;1;3;5;6;8;9;;B;C;D;E;F;G;Ab;;dim;maj;dim;min;min;maj;aug;
469;1;C;Modes of Double Harmonic Scale;1;Double Harmonic Major;4;b;1;2;5;6;8;9;12;;C;Db;E;F;G;Ab;B;;;;;;;;;
470;2;C#;Modes of Double Harmonic Scale;1;Double Harmonic Major;5;;2;3;6;7;9;10;1;;C#;D;F;F#;G#;A;C;;;;;;;;;
471;3;D;Modes of Double Harmonic Scale;1;Double Harmonic Major;6;b;3;4;7;8;10;11;2;;D;Eb;Gb;G;A;Bb;Db;;;;;;;;;
472;4;D#;Modes of Double Harmonic Scale;1;Double Harmonic Major;7;;4;5;8;9;11;12;3;;D#;E;G;G#;A#;B;D;;;;;;;;;
473;5;E;Modes of Double Harmonic Scale;1;Double Harmonic Major;8;;5;6;9;10;12;1;4;;E;F;G#;A;B;C;D#;;;;;;;;;
474;6;F;Modes of Double Harmonic Scale;1;Double Harmonic Major;9;b;6;7;10;11;1;2;5;;F;Gb;A;Bb;C;Db;E;;;;;;;;;
475;7;F#;Modes of Double Harmonic Scale;1;Double Harmonic Major;10;;7;8;11;12;2;3;6;;F#;G;A#;B;C#;D;F;;;;;;;;;
476;8;G;Modes of Double Harmonic Scale;1;Double Harmonic Major;11;b;8;9;12;1;3;4;7;;G;Ab;B;C;D;Eb;Gb;;;;;;;;;
477;9;G#;Modes of Double Harmonic Scale;1;Double Harmonic Major;12;;9;10;1;2;4;5;8;;G#;A;C;C#;D#;E;G;;;;;;;;;
478;10;A;Modes of Double Harmonic Scale;1;Double Harmonic Major;1;b;10;11;2;3;5;6;9;;A;Bb;Db;D;E;F;Ab;;;;;;;;;
479;11;Bb;Modes of Double Harmonic Scale;1;Double Harmonic Major;2;b;11;12;3;4;6;7;10;;Bb;B;D;Eb;F;Gb;A;;;;;;;;;
480;12;B;Modes of Double Harmonic Scale;1;Double Harmonic Major;3;;12;1;4;5;7;8;11;;B;C;D#;E;F#;G;A#;;;;;;;;;
481;1;C;Modes of Double Harmonic Scale;2; Lydian s2 s6;8;;1;4;5;7;8;11;12;;C;D#;E;F#;G;A#;B;;;;;;;;;
482;2;Db;Modes of Double Harmonic Scale;2; Lydian s2 s6;9;b;2;5;6;8;9;12;1;;Db;E;F;G;Ab;B;C;;;;;;;;;
483;3;D;Modes of Double Harmonic Scale;2; Lydian s2 s6;10;;3;6;7;9;10;1;2;;D;F;F#;G#;A;C;C#;;;;;;;;;
484;4;Eb;Modes of Double Harmonic Scale;2; Lydian s2 s6;11;b;4;7;8;10;11;2;3;;Eb;Gb;G;A;Bb;Db;D;;;;;;;;;
485;5;E;Modes of Double Harmonic Scale;2; Lydian s2 s6;12;;5;8;9;11;12;3;4;;E;G;G#;A#;B;D;D#;;;;;;;;;
486;6;F;Modes of Double Harmonic Scale;2; Lydian s2 s6;1;b;6;9;10;12;1;4;5;;F;Ab;A;B;C;Eb;E;;;;;;;;;
487;7;Gb;Modes of Double Harmonic Scale;2; Lydian s2 s6;2;b;7;10;11;1;2;5;6;;Gb;A;Bb;C;Db;E;F;;;;;;;;;
488;8;G;Modes of Double Harmonic Scale;2; Lydian s2 s6;3;;8;11;12;2;3;6;7;;G;A#;B;C#;D;F;F#;;;;;;;;;
489;9;Ab;Modes of Double Harmonic Scale;2; Lydian s2 s6;4;b;9;12;1;3;4;7;8;;Ab;B;C;D;Eb;Gb;G;;;;;;;;;
490;10;A;Modes of Double Harmonic Scale;2; Lydian s2 s6;5;;10;1;2;4;5;8;9;;A;C;C#;D#;E;G;G#;;;;;;;;;
491;11;Bb;Modes of Double Harmonic Scale;2; Lydian s2 s6;6;b;11;2;3;5;6;9;10;;Bb;Db;D;E;F;Ab;A;;;;;;;;;
492;12;B;Modes of Double Harmonic Scale;2; Lydian s2 s6;7;;12;3;4;6;7;10;11;;B;D;D#;F;F#;A;A#;;;;;;;;;
493;1;C;Modes of Double Harmonic Scale;3;Ultraphrygian;9;b;1;2;4;5;8;9;10;;C;Db;Eb;E;G;Ab;A;;;;;;;;;
494;2;C#;Modes of Double Harmonic Scale;3;Ultraphrygian;10;;2;3;5;6;9;10;11;;C#;D;E;F;G#;A;A#;;;;;;;;;
495;3;D;Modes of Double Harmonic Scale;3;Ultraphrygian;11;b;3;4;6;7;10;11;12;;D;Eb;F;Gb;A;Bb;B;;;;;;;;;
496;4;D#;Modes of Double Harmonic Scale;3;Ultraphrygian;12;;4;5;7;8;11;12;1;;D#;E;F#;G;A#;B;C;;;;;;;;;
497;5;E;Modes of Double Harmonic Scale;3;Ultraphrygian;1;b;5;6;8;9;12;1;2;;E;F;G;Ab;B;C;Db;;;;;;;;;
